Temperature_K,Free_Energy_eV_atom,Lambda,Work_w
300.0,-32.024499,1.0,0.0
300.0039900530677,-32.02450159286608,0.9999867,0.00042384875574980475
300.00801021387275,-32.024504205103085,0.9999733,0.0008508845452514702
300.0120004800192,-32.02450679772239,0.99996,0.001274733700001275
300.0159908523124,-32.02450939028452,0.9999467,0.0016985829877510796
300.020011334756,-32.02451200231577,0.9999333,0.0021256192127492067
300.0240019201536,-32.024514594797346,0.99992,0.002549468733249012
300.02799261171066,-32.02451718722175,0.9999067,0.002973318386748816
300.0320134158315,-32.02451979914773,0.9998933,0.003400354946750482
300.0360043205185,-32.02452239159135,0.99988,0.0038242047332502863
300.03999533137767,-32.02452498404428,0.9998667,0.004248054586250091
300.04398644841336,-32.02452757653978,0.9998534,0.004671904472499896
300.048007681229,-32.02453018860443,0.99984,0.005098941200001561
300.0519990114287,-32.02453278128544,0.9998267,0.005522791053001366
300.0559904478176,-32.02453537407553,0.9998134,0.00594664087275117
300.06001200240047,-32.024537986504015,0.9998,0.006373677466249297
300.06400365197896,-32.02454057957941,0.9997867,0.006797527152999102
300.0679954077594,-32.02454317279717,0.9997734,0.0072213767732489074
300.071987269746,-32.02454576619058,0.9997601,0.007645226293748713
300.0760092531438,-32.02454837926043,0.9997467,0.008072262552250378
300.0800013283541,-32.02455097300569,0.9997334,0.008496111873250181
300.0839935097834,-32.02455356695986,0.9997201,0.008919961061249987
300.08801581503855,-32.02455618062824,0.9997067,0.009346996951251652
300.0920082097171,-32.0245587750341,0.9996934,0.009770845840001458
300.0960007106273,-32.02456136968216,0.9996801,0.010194694562501262
300.0999933177735,-32.02456396457244,0.9996668,0.010618543118751066
300.1039860311598,-32.02456655970494,0.9996535,0.011042391508750872
300.10800887239316,-32.024569174594056,0.9996401,0.011469426561249
300.1120017990714,-32.024571770211594,0.9996268,0.011893274618748804
300.11599483200257,-32.02457436607139,0.9996135,0.012317122509998609
300.1199879711909,-32.02457696220671,0.9996002,0.012740970201748414
300.124011241445,-32.02457957810623,0.9995868,0.013168004550750078
300.1280045939593,-32.024582174726675,0.9995735,0.013591851909999883
300.1319980527436,-32.02458477158941,0.9995602,0.014015699102999688
300.135991617802,-32.02458736869445,0.9995469,0.014439546129749492
300.14001531714547,-32.02458998557101,0.9995335,0.014866579808751158
300.14400909556406,-32.02459258316126,0.9995202,0.015290426503000961
300.14800298026955,-32.024595180993835,0.9995069,0.015714273031000765
