Temperature_K,Free_Energy_eV_atom,Lambda,Work_w
300.0,-32.04005,1.0,0.0
300.00132000580805,-32.04005080800007,0.9999956,0.00014033884700049445
300.0026700237632,-32.04005163438316,0.9999911,0.0002838672019993101
300.0039900530677,-32.040052442410136,0.9999867,0.0004242060379998046
300.00534009505367,-32.04005326882074,0.9999822,0.0005677343817486202
300.00666014785526,-32.04005407688562,0.9999778,0.0007080731957491147
300.00801021387275,-32.04005490332373,0.9999733,0.0008516015282514713
300.009330290172,-32.04005571141551,0.9999689,0.0009919403312484247
300.0106803802215,-32.04005653789239,0.9999644,0.0011354686412507814
300.0120004800192,-32.040057346022074,0.99996,0.001275807422251276
300.01332059143425,-32.04005815417062,0.9999556,0.0014161461922517703
300.0146707173981,-32.04005898069431,0.9999511,0.001559674479750586
300.0159908523124,-32.04005978886976,0.9999467,0.0017000132387510803
300.01734100230993,-32.04006061544347,0.9999422,0.001843541492499896
300.0186611607242,-32.040061423678836,0.9999378,0.0019838802075003905
300.020011334756,-32.04006225030256,0.9999333,0.002127408427499206
300.02133151667084,-32.040063058575825,0.9999289,0.002267747120499701
300.02268171473764,-32.04006388524957,0.9999244,0.0024112753067485164
300.0240019201536,-32.04006469358275,0.99992,0.0025516139557490106
300.02532213718837,-32.0400655019348,0.9999156,0.0026919525937495054
300.0266723711738,-32.040066328689115,0.9999111,0.0028354807237483213
300.02799261171066,-32.040067137101076,0.9999067,0.0029758193177488153
300.02934286973266,-32.04006796391666,0.9999022,0.0031193474027511724
300.0306631337723,-32.040068772388544,0.9998978,0.0032596859527516666
300.0320134158315,-32.04006959926541,0.9998933,0.003403213992750482
300.03333370337447,-32.0400704077972,0.9998889,0.0035435524987509764
300.0346540025373,-32.040071216358854,0.9998845,0.003683890982751471
300.0360043205185,-32.0400720433388,0.99988,0.0038274189440002868
300.0373246431856,-32.04007285197139,0.9998756,0.003967757373000781
300.0386749852056,-32.04007367901262,0.9998711,0.004111285289249597
300.03999533137767,-32.04007448771612,0.9998667,0.0042516236632500915
300.0413456974371,-32.04007531484113,0.9998622,0.004395151511998907
300.04266606711474,-32.04007612361556,0.9998578,0.004535489830999401
300.04398644841336,-32.04007693241986,0.9998534,0.004675828127999895
300.0453368503981,-32.040077759636716,0.9998489,0.00481935590924871
300.0466572552032,-32.04007856851194,0.9998445,0.004959694151249205
300.048007681229,-32.04007939581259,0.99984,0.0051032218650015615
300.0493281095412,-32.040080204769744,0.9998356,0.005243560040998515
300.05067855960874,-32.04008103215418,0.9998311,0.005387087687250871
300.0519990114287,-32.04008184119327,0.9998267,0.005527425797251366
300.05331947487065,-32.040082650273234,0.9998223,0.00566776387424832
300.0546699608669,-32.04008347778328,0.9998178,0.005811291419250676
300.0559904478176,-32.04008428694518,0.9998134,0.0059516294302511714
300.05734095785704,-32.04008511452777,0.9998089,0.006095156918999986
300.05866146831704,-32.040085923760614,0.9998045,0.006235494875000481
300.06001200240047,-32.04008675143826,0.9998,0.0063790222849992965
300.06133253637046,-32.040087560764036,0.9997956,0.006519360163999791
300.0626530819635,-32.0400883701307,0.9997912,0.006659698010000286
300.06400365197896,-32.04008919793396,0.9997867,0.006803225318749101
300.0653242210829,-32.04009000738257,0.9997823,0.006943563098749595
300.0666748151439,-32.040090835280886,0.9997778,0.007087090328748411
300.0679954077594,-32.04009164482244,0.9997734,0.007227428031748906
